ICPSR_ID,Congress,Party,State,District,LastName,FirstName,NumChildren,NumDaughters,NumSons,Female,AAUWrating
12036,111,D,WISCONS,7,OBEY,DAVID,2,0,2,0,73
20953,111,R,WYOMING,1,LUMMIS,CYNTHIA,1,1,0,1,0
29701,110,R,ALABAMA,4,ADERHOLT,Robert ,2,1,1,0,50
29301,110,R,ALABAMA,6,BACHUS,Spencer ,5,2,3,0,30
20300,110,R,ALABAMA,1,BONNER,Jo,2,1,1,0,40
29100,110,D,ALABAMA,5,CRAMER,Robert (Bud),1,1,0,0,77
20301,110,R,ALABAMA,3,ROGERS,Mike,3,1,2,0,60
14066,110,R,ALASKA,1,YOUNG,Don,2,2,0,0,75
20100,110,R,ARIZONA,6,FLAKE,Jeff,5,1,4,0,0
20305,110,D,ARIZONA,7,GRIJALVA,Raul,3,3,0,0,100
29101,110,D,ARIZONA,4,PASTOR,Ed,2,2,0,0,100
29501,110,R,ARIZONA,3,SHADEGG,John,2,1,1,0,10
29702,110,D,ARKANSA,1,BERRY,Marion,2,1,1,0,90
20101,110,R,ARKANSA,3,BOOZMAN,John,3,3,0,0,50
20102,110,D,ARKANSA,4,ROSS,Mike ,2,1,1,0,90
29942,110,D,CALIFOR,43,BACA,Joe,4,2,2,0,100
29316,110,D,CALIFOR,31,BECERRA,Xavier,3,3,0,0,100
15005,110,D,CALIFOR,28,BERMAN,Howard,2,2,0,0,100
29775,110,R,CALIFOR,45,BONO ,Mary ,2,1,1,1,66
20539,110,R,CALIFOR,48,CAMPBELL,John,2,0,2,0,0
29774,110,D,CALIFOR,23,CAPPS,Lois,3,2,1,1,100
20306,110,D,CALIFOR,18,CARDOZA,Dennis,3,2,1,0,100
20108,110,D,CALIFOR,53,DAVIS,Susan,2,0,2,1,100
29104,110,R,CALIFOR,4,DOOLITTL,John,2,1,1,0,10
29313,110,D,CALIFOR,17,FARR,Sam,1,1,0,0,100
29325,110,D,CALIFOR,51,FILNER,Bob,2,1,1,0,100
15413,110,R,CALIFOR,24,GALLEGLY,Elton,4,1,3,0,30
29318,110,D,CALIFOR,36,HARMAN,Jane,4,2,2,1,100
20103,110,D,CALIFOR,15,HONDA,Michael,2,1,1,0,100
14835,110,R,CALIFOR,52,HUNTER,Duncan,2,0,2,0,33
20107,110,R,CALIFOR,49,ISSA,Darrell,1,0,1,0,20
14837,110,D,CALIFOR,12,LANTOS,Tom,2,2,0,0,100
29504,110,D,CALIFOR,16,LOFGREN,Zoe,2,1,1,1,100
14647,110,R,CALIFOR,3,LUNGREN,Daniel,3,2,1,0,20
20538,110,D,CALIFOR,5,MATSUI,Doris,1,0,1,1,100
20703,110,R,CALIFOR,22,MCCARTHY,Kevin,2,1,1,0,40
29315,110,R,CALIFOR,25,MCKEON,Howard,6,3,3,0,30
20702,110,D,CALIFOR,11,MCNERNEY,Jerry,3,0,3,0,100
29905,110,R,CALIFOR,42,MILLER,Gary ,4,2,2,0,33
14256,110,D,CALIFOR,7,MILLER,George,2,0,2,0,100
29903,110,D,CALIFOR,38,NAPOLITA,Grace,5,2,3,1,100
15448,110,D,CALIFOR,8,PELOSI,Nancy,5,4,1,1,100
29317,110,D,CALIFOR,34,ROYBAL-A,Lucille ,2,1,1,1,100
20104,110,D,CALIFOR,29,SCHIFF,Adam,2,1,1,0,100
14053,110,D,CALIFOR,13,STARK,Fortney Pete,7,4,3,0,100
29705,110,D,CALIFOR,10,TAUSCHER,Ellen,1,1,0,1,100
29901,110,D,CALIFOR,1,THOMPSON,Mike,2,0,2,0,100
29106,110,D,CALIFOR,35,WATERS,Maxine,2,1,1,1,100
14280,110,D,CALIFOR,30,WAXMAN,Henry,2,1,1,0,100
29309,110,D,CALIFOR,6,WOOLSEY,Lynn,4,1,3,1,100
20502,110,D,COLORAD,3,SALAZAR,John,3,0,3,0,100
29907,110,R,COLORAD,6,TANCREDO,Thomas ,2,0,2,0,16
20706,110,D,CONNECT,2,COURTNEY,Joe,2,1,1,0,100
29109,110,D,CONNECT,3,DELAURO,Rosa,3,2,1,1,100
29908,110,D,CONNECT,1,LARSON,John,3,2,1,0,100
15449,110,R,CONNECT,4,SHAYS,Christopher,1,0,1,0,100
20758,110,R,FLORIDA,9,BILIRAKI,Gus,4,0,4,0,50
29713,110,D,FLORIDA,2,BOYD,Allen,4,1,3,0,87
29328,110,D,FLORIDA,3,BROWN,Corrine,1,1,0,1,100
20313,110,R,FLORIDA,5,BROWN-WAI,Ginny,3,3,0,1,66
20709,110,R,FLORIDA,13,BUCHANAN,Vern,2,0,2,0,50
20111,110,R,FLORIDA,4,CRENSHAW,Ander,2,2,0,0,33
29336,110,R,FLORIDA,21,DIAZ-BAL,Lincoln,2,0,2,0,80
20315,110,R,FLORIDA,24,FEENEY,Tom,2,0,2,0,10
29337,110,D,FLORIDA,23,HASTINGS,Alcee,3,2,1,0,100
20112,110,R,FLORIDA,8,KELLER,Ric,3,2,1,0,50
20711,110,D,FLORIDA,22,KLEIN,Ron,2,1,1,0,100
20503,110,R,FLORIDA,14,MACK,Connie,2,1,1,0,10
20710,110,D,FLORIDA,16,MAHONEY,Tim,1,1,0,0,90
20358,110,D,FLORIDA,17,MEEK,Kendrick,2,1,1,0,100
29331,110,R,FLORIDA,7,MICA,John,2,1,1,0,33
20110,110,R,FLORIDA,1,MILLER,Jeff,2,0,2,0,10
15634,110,R,FLORIDA,18,ROS-LEHT,Ileana,2,2,0,1,80
15627,110,R,FLORIDA,6,STEARNS,Cliff,3,0,3,0,50
20504,110,D,FLORIDA,20,WASSERMA,Debbie,3,2,1,1,100
29509,110,R,FLORIDA,15,WELDON,Dave,2,1,1,0,0
13047,110,R,FLORIDA,10,YOUNG,C.W. Bill,3,0,3,0,50
20507,110,D,GEORGIA,12,BARROW,John,2,1,1,0,100
29339,110,D,GEORGIA,2,BISHOP,Sanford,1,1,0,0,100
20753,110,R,GEORGIA,10,BROUN,Paul,3,2,1,0,14
99342,110,R,GEORGIA,9,DEAL,Nathan,4,3,1,0,10
20319,110,R,GEORGIA,11,GINGREY,Phil,4,3,1,0,22
20712,110,D,GEORGIA,4,JOHNSON,"Henry C. ""Hank""",2,0,2,0,100
29338,110,R,GEORGIA,1,KINGSTON,Jack,4,2,2,0,11
15431,110,D,GEORGIA,5,LEWIS,John,1,0,1,0,100
29341,110,R,GEORGIA,7,LINDER,John,2,1,1,0,11
20317,110,D,GEORGIA,8,MARSHALL,Jim,2,1,1,0,100
20505,110,R,GEORGIA,6,PRICE,Tom,1,0,1,0,20
20321,110,D,GEORGIA,13,SCOTT,David,2,2,0,0,100
20506,110,R,GEORGIA,3,WESTMORE,Lynn,3,2,1,0,10
20509,110,D,ILLINOI,8,BEAN,Melissa,2,2,0,1,100
29912,110,R,ILLINOI,13,BIGGERT,Judy,4,3,1,1,70
15453,110,D,ILLINOI,12,COSTELLO,Jerry,3,1,2,0,90
29717,110,D,ILLINOI,7,DAVIS,Danny,2,0,2,0,100
20323,110,D,ILLINOI,5,EMANUEL,Rahm,3,2,1,0,100
29348,110,D,ILLINOI,4,GUTIERRE,Luis,2,2,0,0,100
