congress,chamber,state,district,party,id,last_name,first_name,middle_name,nick_name,icpsr,born,died,nominate_dim1,nominate_dim2,female,ngirls,nboys,nchildren,high_confidence,aauw_voting,aauw_all,aauw_women_voting,aauw_women_all,anygirls
97,House,TX,1,D,H000070,Hall,Sam,Blakeley,NA,14291,1924,1994,0.054,0.936,0,3,0,3,1,38,33,0,0,1
97,House,TX,4,D,H000067,Hall,Ralph,Moody,NA,14828,1923,NA,0.096,0.995,0,0,3,3,1,44,44,0,0,0
97,House,OH,3,D,H000074,Hall,Tony,Patrick,NA,14632,1942,NA,-0.28,0.155,0,1,0,1,0,89,89,50,50,0
97,House,IN,9,D,H000114,Hamilton,Lee,Herbert,NA,10732,1931,NA,-0.171,-0.053,0,2,1,3,0,89,89,50,50,1
97,House,AR,3,R,H000124,Hammerschmidt,John,Paul,NA,11020,1922,2015,0.253,0.239,0,0,1,1,1,33,33,0,0,0
97,House,TX,19,D,H000144,Hance,Kent,Ronald,NA,14633,1942,NA,-0.042,0.747,0,1,1,2,0,50,44,50,50,0
97,House,UT,1,R,H000172,Hansen,James,Vear,NA,14829,1932,NA,0.496,0.143,0,2,3,5,1,14,11,0,0,1
97,House,ID,2,R,H000171,Hansen,George,Vernon,NA,10734,1930,2014,0.621,0.339,0,2,3,5,1,11,11,0,0,1
97,House,IA,5,D,H000206,Harkin,Thomas,Richard,Tom,14230,1939,NA,-0.351,-0.546,0,2,0,2,0,100,100,100,100,1
97,House,GA,2,D,H000340,Hatcher,Charles,Floyd,NA,14831,1939,NA,-0.202,0.722,0,1,1,2,0,62,56,50,50,0
97,House,CA,29,D,H000367,Hawkins,Augustus,Freeman,Gus,10595,1907,2007,-0.517,-0.369,0,2,1,3,1,100,100,100,100,1
97,House,MA,10,R,H000440,Heckler,Margaret,M.,NA,11021,1931,NA,-0.007,-0.682,1,2,1,3,1,67,67,0,0,1
97,House,NC,8,D,H000448,Hefner,Willie,Gathrel,Bill,14233,1930,2009,-0.264,0.609,0,2,0,2,1,67,67,50,50,1
97,House,HI,1,D,H000449,Heftel,Cecil,Landau,NA,14425,1924,2010,-0.269,0.243,0,4,3,7,1,100,100,100,100,1
97,House,NC,11,R,H000490,Hendon,William,Martin,NA,14832,1944,NA,0.335,-0.122,0,2,0,2,1,33,33,0,0,1
97,House,TX,13,D,H000582,Hightower,Jack,English,NA,14234,1926,2013,-0.115,0.711,0,3,0,3,1,44,44,0,0,1
97,House,IN,5,R,H000624,Hillis,Elwood,Haynes,NA,13018,1926,NA,0.173,-0.106,0,0,3,3,0,44,44,0,0,0
97,House,SC,5,D,H000719,Holland,Kenneth,Lamar,NA,14235,1934,NA,-0.246,0.523,0,2,1,3,1,71,56,50,50,1
97,House,MD,4,R,H000747,Holt,Marjorie,Sewell,NA,14021,1920,NA,0.368,0.061,1,2,1,3,1,22,22,0,0,1
97,House,KY,6,R,H000776,Hopkins,Larry,Jones,NA,14635,1933,NA,0.347,-0.242,0,0,1,1,0,44,44,0,0,0
97,House,NY,34,R,H000797,Horton,Frank,Jefferson,NA,10596,1919,2004,-0.004,-0.359,0,0,4,4,1,62,56,50,50,0
97,House,NJ,3,D,H000840,Howard,James,John,NA,10739,1927,1988,-0.431,-0.018,0,3,0,3,1,100,100,100,100,1
97,House,MD,5,D,H000874,Hoyer,Steny,Hamilton,NA,14873,1939,NA,-0.38,0.117,0,3,0,3,0,100,100,NA,NA,1
97,House,KY,1,D,H000878,Hubbard,Carroll,NA,NA,14237,1937,NA,-0.038,0.476,0,0,1,1,0,67,67,50,50,0
97,House,LA,5,D,H000901,Huckaby,Thomas,Jerald,NA,14427,1941,NA,-0.009,0.507,0,1,0,1,0,44,44,0,0,0
97,House,NJ,2,D,H000930,Hughes,William,John,NA,14238,1932,NA,-0.153,-0.204,0,3,1,4,1,89,89,100,100,1
97,House,CA,42,R,H000981,Hunter,Duncan,Lee,NA,14835,1948,NA,0.47,0.02,0,0,2,2,0,22,22,0,0,0
97,House,FL,1,D,H001018,Hutto,Earl,Dewitt,NA,14636,1926,NA,-0.007,0.732,0,2,0,2,1,50,44,0,0,1
97,House,IL,6,R,H001022,Hyde,Henry,John,NA,14239,1924,2007,0.312,-0.18,0,1,3,4,1,56,56,0,0,0
97,House,FL,8,D,I000029,Ireland,Andrew,Poysell,Andy,94428,1930,NA,0.015,0.377,0,3,4,7,0,62,56,0,0,1
97,House,IN,11,D,J000033,Jacobs,Andrew,NA,NA,10742,1932,2013,-0.07,-0.846,0,0,2,2,1,78,78,50,50,0
97,House,VT,1,R,J000072,Jeffords,James,Merrill,NA,14240,1934,2014,0.014,-0.687,0,1,1,2,1,78,78,50,50,0
97,House,GA,9,D,J000083,Jenkins,Edgar,Lanier,Ed,14429,1933,2012,-0.116,0.678,0,2,0,2,1,62,56,50,50,1
97,House,NC,6,R,J000200,Johnston,Walter,Eugene,NA,14836,1936,NA,0.723,-0.69,0,0,1,1,1,25,22,0,0,0
97,House,NC,1,D,J000256,Jones,Walter,Beaman,NA,10788,1913,1992,-0.259,0.941,0,1,0,1,1,62,56,50,50,0
97,House,OK,1,D,J000232,Jones,James,Robert,NA,14026,1939,NA,-0.095,0.444,0,0,2,2,0,44,44,0,0,0
97,House,TN,7,D,J000216,Jones,Ed,NA,NA,12038,1912,1999,-0.245,0.827,0,1,0,1,1,67,67,0,0,0
97,House,WI,2,D,K000020,Kastenmeier,Robert,William,NA,5101,1924,2015,-0.514,-0.452,0,0,3,3,1,89,89,100,100,0
97,House,TX,23,D,K000025,Kazen,Abraham,NA,NA,11023,1919,1987,-0.219,0.747,0,4,1,5,1,67,67,50,50,1
97,House,NY,38,R,K000086,Kemp,Jack,French,NA,13020,1935,2009,0.3,-0.133,0,1,3,4,1,43,33,0,0,0
97,House,CT,1,D,K000118,Kennelly,Barbara,Bailey,NA,14877,1936,NA,-0.346,-0.13,1,3,1,4,0,NA,NA,NA,NA,1
97,House,MI,7,D,K000172,Kildee,Dale,Edward,NA,14430,1929,NA,-0.385,0.011,0,1,2,3,0,89,89,50,50,0
97,House,OH,8,R,K000190,Kindness,Thomas,Norman,NA,14245,1929,2004,0.419,-0.051,0,1,3,4,1,33,33,0,0,0
97,House,CO,3,D,K000304,Kogovsek,Raymond,Peter,NA,14638,1941,NA,-0.33,0.033,0,2,0,2,1,89,89,100,100,1
97,House,NY,36,D,L000556,Lafalce,John,Joseph,NA,14248,1939,NA,-0.357,0.112,0,0,1,1,0,89,89,100,100,0
97,House,CA,19,R,L000020,Lagomarsino,Robert,John,NA,14071,1926,NA,0.378,-0.267,0,1,0,1,1,44,44,0,0,0
97,House,CA,11,D,L000090,Lantos,Thomas,Peter,NA,14837,1928,2008,-0.376,-0.033,0,2,0,2,1,100,100,100,100,1
97,House,OH,5,R,L000116,Latta,Delbert,Leroy,NA,5495,1920,2016,0.391,-0.084,0,1,0,1,1,33,33,0,0,0
97,House,IA,1,R,L000169,Leach,James,Albert Smith,NA,14432,1942,NA,0.141,-0.79,0,1,1,2,0,67,67,0,0,0
97,House,TX,11,D,L000180,Leath,James,Marvin,NA,14641,1931,2000,0.049,0.999,0,0,1,1,1,38,33,0,0,0
