state,office,name,party,rating,congress
TX,U.S. House - 30,Eddie Johnson,Democratic,86%,116
TX,U.S. House - 31,John Carter,Republican,14%,116
TX,U.S. House - 32,Colin Allred,Democratic,71%,116
TX,U.S. House - 33,Marc Veasey,Democratic,86%,116
TX,U.S. House - 34,"Filemon Vela, Jr.",Democratic,100%,116
TX,U.S. House - 35,Lloyd Doggett II,Democratic,100%,116
TX,U.S. House - 36,Brian Babin,Republican,0%,116
UT,U.S. Senate - Sr,Mike Lee,Republican,0%,116
UT,U.S. Senate - Jr,Mitt Romney,Republican,14%,116
UT,U.S. House - 2,Chris Stewart,Republican,0%,116
UT,U.S. House - 3,John Curtis,Republican,0%,116
VA,U.S. Senate - Sr,Mark Warner,Democratic,57%,116
VA,U.S. Senate - Jr,Tim Kaine,Democratic,71%,116
VA,U.S. House - 1,Rob Wittman,Republican,14%,116
VA,U.S. House - 2,Elaine Luria,Democratic,100%,116
VA,U.S. House - 3,Bobby Scott,Democratic,86%,116
VA,U.S. House - 4,Donald McEachin,Democratic,100%,116
VA,U.S. House - 6,Ben Cline,Republican,14%,116
VA,U.S. House - 7,Abigail Spanberger,Democratic,100%,116
VA,U.S. House - 8,"Don Beyer, Jr.",Democratic,86%,116
VA,U.S. House - 9,Morgan Griffith,Republican,0%,116
VA,U.S. House - 10,Jennifer Wexton,Democratic,100%,116
VA,U.S. House - 11,Gerry Connolly,Democratic,100%,116
VI,U.S. House - Delegate,Stacey Plaskett,Democratic,100%,116
VT,U.S. Senate - Sr,Patrick Leahy,Democratic,71%,116
VT,U.S. Senate - Jr,Bernie Sanders,Independent,86%,116
VT,U.S. House - At-Large,Peter Welch,Democratic,100%,116
WA,U.S. Senate - Sr,Patty Murray,Democratic,86%,116
WA,U.S. Senate - Jr,Maria Cantwell,Democratic,57%,116
WA,U.S. House - 1,Suzan DelBene,Democratic,100%,116
WA,U.S. House - 2,Rick Larsen,Democratic,100%,116
WA,U.S. House - 3,Jaime Herrera Beutler,Republican,14%,116
WA,U.S. House - 4,Dan Newhouse,Republican,0%,116
WA,U.S. House - 5,Cathy McMorris Rodgers,Republican,14%,116
WA,U.S. House - 6,Derek Kilmer,Democratic,100%,116
WA,U.S. House - 7,Pramila Jayapal,Democratic,100%,116
WA,U.S. House - 8,Kim Schrier,Democratic,86%,116
WA,U.S. House - 9,Adam Smith,Democratic,100%,116
WA,Lieutenant Governor,Denny Heck,Democratic,100%,116
WI,U.S. Senate - Sr,Ron Johnson,Republican,0%,116
WI,U.S. Senate - Jr,Tammy Baldwin,Democratic,100%,116
WI,U.S. House - 1,Bryan Steil,Republican,14%,116
WI,U.S. House - 2,Mark Pocan,Democratic,100%,116
WI,U.S. House - 3,Ron Kind,Democratic,86%,116
WI,U.S. House - 4,Gwen Moore,Democratic,100%,116
WI,U.S. House - 6,Glenn Grothman,Republican,0%,116
